jockey_id,weight,birthday
1015,50,1977/09/26
1091,47,1985/11/05
5203,50,1974/03/12
1032,45,1979/07/23
1127,47,1990/10/03
1116,47,1988/12/19
1163,44,1997/05/31
1095,45,1983/12/20
1176,46,2001/02/04
5339,53,1979/05/20
1093,47,1986/03/17
1096,46,1986/09/08
1109,47,1985/11/12
1030,47,1978/09/13
1112,46,1988/07/28
1025,47,1978/08/10
1124,46,1990/12/27
1144,46,1992/09/26
660,49,1968/02/23
5585,53,1994/02/06
1122,50,1989/12/19
1043,45,1980/07/24
1014,51,1976/12/09
1161,46,1997/08/27
1179,45,2001/03/12
1140,47,1993/03/23
663,51,1969/03/19
1125,46,1990/12/27
1162,46,1996/05/09
641,53,1966/07/30
1077,47,1984/04/03
1167,47,1998/09/21
1135,46,1992/10/31
422,49,1970/07/26
1034,45,1980/02/04
1102,46,1986/10/03
1170,45,1998/12/22
5386,50,1980/07/08
1150,47,1995/09/22
5212,52,1979/01/11
1158,48,1996/12/29
1130,47,1991/09/04
1117,49,1986/05/20
733,48,1975/04/19
1115,51,1988/12/25
1138,46,1993/02/25
5525,51,1983/12/31
1157,48,1996/10/18
1126,47,1990/03/01
666,51,1969/03/15
1166,45,1997/11/19
1141,47,1993/06/25
1160,45,1997/09/23
732,50,1976/01/12
1099,44,1987/02/04
1114,47,1988/03/16
1174,47,2000/05/31
1171,45,1999/07/30
1178,47,2001/02/09
1128,46,1991/11/09
1154,43,1995/09/04
1019,47,1979/02/09
1088,45,1985/10/15
1018,51,1977/06/23
1062,45,1982/11/24
1075,46,1984/02/12
689,49,1972/02/08
1009,48,1977/06/18
726,48,1976/03/25
684,51,1971/02/25
1004,51,1974/10/14
1134,45,1993/03/08
1152,46,1995/05/13
1142,47,1993/09/25
1108,47,1987/11/28
1031,47,1978/12/20
1169,45,1998/01/10
1092,46,1986/01/05
1165,46,1997/03/02
5243,,1978/02/19
1036,45,1979/10/13
1147,46,1994/01/29
1156,45,1997/03/08
1029,47,1978/02/09
1143,47,1994/01/15
894,52,1967/09/07
1037,47,1979/04/22
1133,46,1991/03/22
1180,47,2000/06/22
1146,47,1994/05/30
1168,47,1996/12/11
1173,45,1997/09/18
1051,45,1981/11/05
1182,,2001/12/18
1118,49,1989/03/12
1164,45,1997/08/09
1063,45,1983/02/07
1129,46,1992/03/11
652,53,1968/01/25
1153,47,1995/04/07
1184,,2000/06/10
1038,47,1979/09/16
5429,50,1971/10/16
1057,45,1982/03/30
1139,48,1993/03/13
1177,47,2001/02/20
1131,47,1990/03/21
5596,,1997/10/30
1119,48,1990/02/26
5420,,1983/07/08
1149,47,1993/06/04
1181,,2001/09/12
5517,51,1975/03/10
5597,,1993/11/02
1010,50,1977/06/18
5115,53,1974/01/04
5524,,1994/07/17
5171,,1977/03/03
1159,48,1996/12/25
5342,,1981/01/11
700,52,1972/11/30
5531,,1988/03/11
5269,,1981/01/11
5404,,1981/08/25
5575,53,1995/09/06
5268,,1982/03/23
1085,50,1984/07/18
5389,,1983/04/20
1151,48,1994/12/05
5271,,1981/06/04
5366,54,1983/09/18
5495,53,1988/07/22
5380,,1984/08/03
875,,1970/12/15
5390,,1984/12/26
5286,,1976/03/14
1059,45,1982/06/03
5578,,1998/04/04
5512,,1988/05/21
5534,,1995/04/10
5492,,1995/03/20
5586,,1995/07/15
5533,,1990/06/03
5321,,1975/05/20
817,,1956/09/07
5427,,1983/07/15
5470,53,1980/11/13
5091,,1975/09/30
5229,,1970/03/28
5411,,1987/03/26
837,,1965/04/14
1155,47,1995/10/13
1069,46,1984/02/16
5568,53,1991/01/18
1175,46,2000/10/25
5543,,1985/01/18
5584,,1990/12/17
5099,,1968/01/12
5548,,1988/07/18
5469,53,1974/04/10
5573,,1995/08/02
1172,44,1999/03/09
5545,,1996/11/16
5473,51,1992/07/08
5529,55,1980/07/14
5509,52,1983/09/26
5574,,1986/09/19
5471,55,1981/01/02
5299,,1983/10/26
5445,,1988/01/30
5199,,1975/05/04
5328,,1977/09/03
5370,,1983/12/12
5306,,1977/09/23
722,51,1974/05/05
1046,47,1980/11/03
1061,46,1982/09/13
5377,,1974/05/02
5393,,1982/06/23
5570,,1994/02/16
5569,,1989/11/21
5438,,1981/04/28
5571,,1993/01/28
5567,,1990/01/06
5309,,1974/01/28
5542,,1986/06/30
1072,46,1983/10/26
5566,,1994/01/22
1123,47,1990/03/12
5336,52,1976/08/24
629,51,1965/06/14
5364,,1984/02/14
1049,45,1981/03/02
5435,,1985/04/01
5555,,1998/05/10
5554,,1997/01/14
5557,,1995/11/11
5556,,1998/03/20
5553,,1995/12/11
5552,,1995/06/07
5558,,2000/03/08
5538,,1993/11/18
1008,48,1977/02/28
5551,,1989/06/22
5550,,1983/03/03
5527,,1991/03/26
5089,,1966/11/24
843,,1967/01/03
5414,,1985/09/10
5447,,1985/04/07
5546,,1994/04/10
5541,,1991/11/01
5516,,1975/06/29
5547,,1980/10/24
5487,,1984/10/08
409,,1963/01/30
5098,,1970/01/05
5135,,1971/11/15
1097,46,1985/12/30
5544,,1992/11/08
5073,,1978/03/22
5522,,1993/12/02
1066,44,1982/11/01
5454,53,1983/01/03
5540,,1978/12/19
1080,46,1984/05/26
5408,,1983/03/14
1132,48,1990/01/16
5217,,1973/09/25
1026,46,1978/11/03
5230,,1977/03/04
5161,,1969/09/06
5451,,1983/11/16
5504,,1991/08/03
5539,,1990/01/09
5537,,1971/06/29
5514,,1992/12/21
1113,49,1989/01/20
5532,,1983/09/22
5521,,1981/04/20
5535,,1981/09/01
5536,,1986/11/08
5416,,1977/05/23
5374,,1980/06/08
5502,,1985/01/15
5460,,1975/10/03
5528,,1991/01/21
5530,,1992/11/04
1104,47,1985/12/05
815,,1959/03/14
5519,,1986/03/14
5497,,1980/01/21
5376,,1978/01/17
705,50,1972/02/27
1137,47,1990/01/01
878,,1967/03/24
856,,1958/08/07
5503,,1980/06/01
5526,,1983/01/03
5455,,1988/03/16
1111,47,1986/05/12
711,49,1974/03/19
5498,53,1983/02/07
635,50,1965/07/22
1050,47,1982/01/13
